Nombre,Tiamat,Ultimo Suspiro,Navaja de Sangre,Ecos Runicos,Gigante Cenizo,Guerrero,Mascara Abisal,Abrazo del Serafin,Al Filo de la Cordura,Apariencia Espiritual,Armadura de Warmog,Atrapahechizos,Baculo del Arcangel,Baculo del Vacio,Bailarin Espectral,Botas de Mercurio,Botas de Movilidad,Botas de Rapidez,Botas del Hechizero,Botas Jonianas,Cetro de Cristal Rylai,Cimitarra Mercurial,Filo del Infinito,Sombrero Rabaddon,Crisol de Mikael,Daga de Statikk,Danza de la Muerte,Diente de Nashor,Eco de Luden,Tormento de Liandry,Ensuenio de Shurelya,Espada del Rey Arruinado,Youmuu,Espadafuria de Guinsoo,Fauces Malmortius,Filo de la Noche,Filo de la Tormenta,Fuerza de la Trinidad,GLP Hextech 800,Grebas del Berserker,Grial de Athene,Guantelete de Sterak,Hidra Titanica
Ataque,25,20,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,80,0,0,0,50,80,0,0,0,40,55,25,50,0,55,25,0,0,0,0,40
Vel de ataq,0,0,1.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.5,0,0,0,1.25,0,1.25,0,0,1.15,1.4,0,1.35,0,0,0
AP,0,0,0,0,0,0,0,50,0,0,0,120,50,70,1.3,0,0,0,0,0,90,0,0,120,40,0,0,0,90,75,0,0,0,25,0,0,0,0,80,0,30,0,0
Vida,0,0,0,80,300,0,350,0,0,450,800,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,300,300,0,0,0,0,250,0,250,0,0,0,450,450
Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RM,0,0,0,0,0,0,55,0,50,55,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,30,0,0
Prob critico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,1.25,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0
Mana,0,0,0,300,0,0,300,1400,0,0,0,0,650,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,250,600,0,0,0,0
Reg. Vida,1.5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Reg. Mana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
Robo de Vida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0
CDR,0,0,0,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.2,0,0,0.1,0,0.1,0,0.1,0,0,0.2,0.1,0,0.1,0,0
Costo,1325,1450,2625,2500,1500,2625,3000,2240,2900,2800,2850,2900,3200,2650,2600,1100,1000,900,1100,900,2600,3400,3400,3600,2100,2600,3600,3000,3200,3100,2050,3300,2900,3100,3250,2900,3200,3733,2800,1100,2100,3200,3500
